,Username,Comment
810,08missEE,"I feel you Phil. My account got spread so bad I had no choice but to change my password only to forget my new password, then finally deactivated my account because I realized the shows I wanted to watch were on Hulu."
811,Jeremy Villasenor,Name dropping famous friends done right
812,Langit,6:28 lol  Bart & Taika in the background
813,Cindy C,So many twists! Love this!!!
814,Jennifer Deng 邓文欣,"That reference of Simu Liu and Kims Convenience, and that fifth season. I love all those people being called by Phil."
815,Jennifer Deng 邓文欣,"That reference of Simu Liu and Kims Convenience, and that fifth season."
816,bujo with zozo,omg this was so funny ahaha
817,SuperPlusExtra,Love the Justin and Jenn part 
818,bea Vue, thank you for the laugh!
819,Sophia Turnbull,This woulda been a cool opportunity to reach out to Ted and Christine - but it was a great short nonetheless :D
820,Redoy Joarder,"Natalie Tran ! We miss you girl ! Hope you are doing well.
And Wong Pu Productions never disappoints !!"
821,alana notmyrealname,i like the metaphor of the video:) now if only we could stop spreading the damn viRus now 
822,Yvonne Au,OMG NAT!!!!!
823,TheWrxGuy,"After all the tracing, still have to change password anyways.. lol"
824,kvang49,Love Anna. Her acting is amazing
825,Jezreel Ruth Punay,"Each time they introduced a new person I freaked out internally thinking ""its TED!!"" Only to my disappointment "
826,Keo Lo,I remember Natalie. I had to go back to her videos and try to find out why she left youtube
827,Zarina Wong,I feel like Natalie came out of retirement for this
828,J.J. Ayala,Phil out here flexing his network of famous friends. Lol.
829,Lovina J,IT'S COMMUNITY CHANNEL I MISSED NATALIE
830,aldy tjandra,this is so relatable !  great work guys
831,Gabs_cool123,As a person who uses her friends Hulu account constantly I feel attacked
832,Lovina J,THE JUSTIN AND JENN BIT GOT ME
833,liquid,Great to see all these you tubers 
834,waterlilygirl7,This was adorable!
835,13din,This is a dig at coronavirus
836,Ahwing Chu,The ending is cracking me up
837,heyrjayyy,"is Jen really talking to ""some guy""??? say it aint so...."
838,Noi Maeshige,This video brought me so much joy! Thank you so much for creating such a wonderful video during this time.
839,Victoria Tecson,YOOO COMMUNITYCHANNEL!!!! AHHHH MY HEART IS HAPPY!!!
840,Joe Higashi,Phil and Taylor are actual roommates? There's gotta be some comedy material in there
841,Kayla Vo,Itaewon Class!!!!
842,Aysha3338,You guys got Manny to be in the vid!
843,Benita C,Natalie!! I couldn't stop grinning when she appeared 
844,Linh Ph,"OMG Natalie!! 
The only missing person is Ted tho... :("
845,Cherryblossom627,NAT IS BACK!!!
846,Justin Kainoa,Omg Nat
847,andre perkins, good to see all these familiar faces!!! All in one place...
848,starbuckcylon,Well done!
849,Nik,OMG!!!!!! IT'S NATALIE TRAN!!!!!
850,HAlC11235,"LOL.  This is when you go into your account, change the password and force re-login."
851,hbl142,I loved this. Thank you!
852,Michael Chau,NATIONAL TREASURE IS ON NETFLIX!?!?!?!
853,TheSammidc,I DID NOT EXPECT TO SEE NATALIEEEEEEEEE WOAHHHHH!!
854,Kristy K,Well played...well played. 
855,Brenda Hernandez,Jen  Justin 
856,Panda B,"So funny..I just started Kim's Convenience today..yea, I know I'm late "
857,nevermore667,A communitychannel video yay
858,heayoung93,OMG MAAAAAAT IS BACKKK
859,theworldaccordingtovivian,IT REALLY IS NATALIE FROM COMMUNITY CHANNEL AS THE TRUE VILLAIN I CANT and ok i see u justin and jenn ;)
860,Melina Lim,These crossovers got me dead 
861,Abid Hussain,Been there and still feeling that 
862,gaspitsiris,THIS IS AMAAZZAZZING OMFG. i fell off my chair at 7:55 laughing so hard omg hahaahaahah
863,lhc,Nat is out from her retire! YAY!
864,xStarlitee,"OMGSH Weylie on WF, i love this."
865,GRACE H PARK,Taylor watches Bojack Horseman!! YESS
866,Chris Wan,"Once they brought Nat back, I thought Ted was next."
867,whatever b,"Jens ringtone
 also Helens in this short "
868,lovely,BOJACK!!
869,angelavuvu,OMGGG NATALIE IS ALIVE!!!
870,StarlightRose,A channel I like actually recognized Bojack Horseman this is great
871,Kim Ann,the justin and jen saga continues!!!!
872,Hiền Hạnh,Good job as always guys!!! But this one really impressive!!!!!
873,Daphne Bluemoon,I LOVE THIS SO MUCH EVERYONES IN THIS WTH
874,Daphne Bluemoon,NAAAAAATTAALLLLIIIEEEEEEEE OMGGGGDDNDBSBSBDHDH
875,Cranking All Day,Bart funny a f
876,MeiLing SB,"When I heard Phil said Weylie, I smiled so hard hihi"
877,Mudda Boolshit,boy coulda just pressed log all users out
878,Since_6,asian boss girl ringtone~~~~
879,Grace Kim,LOL this was so awesome. So much nostalgia
880,Yenny Neyu,OH MY GOSHHHH HAD ME DEAD!
881,IaMRnB,"Greatest use of isolation collaboration, Wong Fu does it again"
882,ZQ Wong,OMEGALAWL DAT ENDING
883,David Kwon,All this time i thought it was going to end with Ted =(
884,Diansa Ngo,Omg Natalieee!!!
885,musingsofsorts,dare we be more divisive with our devices? I am here for that line!!
886,Vicky Lee,MANNNNNYYYY aHHhhhhHHH
887,Nagem,NATTTTT
888,joshjooh,If only 2 people can be logged in at the same time won't there be millions of clashing if more than even 5 people have it?
889,Sherry Su,itaewon class!!!
890,Bay Area Traveler,"Was hoping to see Ted or Nigahiga, Kevjumba"
891,ma supa yookie yookie,EFFING LOVE THIS!!! Thanks so much for the funny video with all your friends...stay safe!
892,Maximillian Low,This is so good! Love the writing. :)
893,Lauren Galvez,Bart and Geo man 
894,Jena,"yeah justin min gave it to tua twitter when he was trying to bully them


sorry dude"
895,Patrick Park,global lockdown was worth it for the creation of this video
896,Brianna E.,Who else thought they might go to Ted...and then the cut to Simu? Ted might have been an even more exclusive guest. Nice short for these times! And do Phil and Taylor really live together?
897,Zoe Staff,"""That Level of Distrust is the last thing the world needs right now."" 
Stellar."
898,Aaron Crawford,This was great!
899,AverageBrino,6:27 IM DEAD... thank me later.
900,waffle,OH DIP!
901,Anne,Manny!!! 
902,Catherine Lopez,this video emphasizes how cheap asians are
903,Tex 21133,"I dont have Netflix, but cant you just change your password?"
904,Dani Doubleday,just change the password
905,Nushu,OMG NAT 
906,katmcdowell,Dare we decide to be decisive with our devices? OMG  The best line!
907,legitmontrellthigpen,Protip: just sign out of all devices from your settings!
908,SirAgravaine,"OH MY GOD
NATALIE AND MANNY JACINTO?!"
909,Spider- Man,"THIS WAS AWESOME!
(plus the fact that Netflix didn't sponsor you guys is crazy lol)"
910,lamlegends,I knew itd be Nat!!
911,Precious Amber,ahhh Manny!!! love this video hahahaha
912,Jody,This was a really fun video! I really loved seeing everyone and I thought it was really creative on how you were able to get so many people in a video during this time. I died when Justin mentioned Jenn oml and it was really cool to see Helen in a sketch!
913,Victoria Cui,3:10 Reallyyy thought that was gonna be Ted
914,sinaain,"Haha, me and my boyfriend just had to upgrad our Netflix to premium because too many people are using it at once."
915,J J,This was so good!!!! Thanks guys
916,NathAN,8:46 Flattening the curve!!!
917,Blackdawg73,"Phil is a Nice Guy whose personal Netflix credentials have gone too far....I love Natalie and her laugh!

Phil: ""I'm just going to change my password.""
Taylor: ""No, Phil, don't!  That will just create a ripple effect, placing everyone's friendships in crisis!""

This is great!  Thanks, WongFu."
918,Leon,that pause at 10:00 is perfect
919,Dae McD,It was so good to see Natalie. She's hilarious.
920,Omar Zaifulizan,you just change the password phil
921,Darkangel220a,Arden cho 
922,J J,HAHAHA the Jenn and Justin love story continues 
923,karen cow,yo it spread even faster than the coronavirus :O
924,jeff wei,That Ken Burns slow zoom at 7:45 
925,VoicelessSoldier,"Wow, I miss Umbrella Academy now."
926,Hugo,I think this whole video was just a commercial for Hulu
927,Erin Placencia,Yasssss Jen! JB 4 lyfe
928,SiaarZH,rick and morty is on netflix
929,R Liu,MANNY JACINTO 
930,CrayFX,this is just phil flexing all the famous people he knows
931,narizza,WHEN I TELL YOU I SCREAMED WHEN I SAW NAT!!!! WHAT?!?!?
932,Des Su,"My heart skipped a beat when Geo said ""two"" babies, thought it finally happened "
933,californiaklassable,4:20; i vote jenn & justin
934,doreese,This is so clever damn
935,Maria Gomes,all these people and y'all aren't even on the four screens plan? yikes
936,raaachaelll :3,OH MA GAH. COMMUNITY CHANNEL?!
937,HarryU,I thought it was funny to begin with and then it's just Phil flexing on us with all his actor and actress friends! love it
938,jeff wei,They tried to warn us in the trouble about friends with benefits
939,Allison Cai,HELEN IS SO PRETTY
940,eden borden,Loved this!!
941,Solo 123,Is it just me who is actually routing for Jen and Justin after watching lunch break episode? I really ship them 
942,Kevin Ngo,"Phil, that last bit where you said ""Yeah, lets use Wes's"" is the best bit of acting I've ever seen you do."
943,gui bin,"This happened to my friend, though to a much smaller degree, when he let his mom on his account. He just changed the password without telling anyone lol."
944,Lana Le,Bahahaha
945,roxi26293,This was hilarious  Thank you for making this despite the circumstances!
946,I Dont have a Life Please Send -help- a Gun,YO! How dare the careholders not choose Ted!!
947,chai_knees,I wanted to hear about this boy Jenn was talking about lol
948,Marissa Catagan,Weylie and Nat!!!
949,Junie Huang,Weylie 
950,Brian Chua,"Phil sitting on his couch: FINALLY I CAN WATCH  RICK AND MORTY!!!
Taylor: Um, that's on Hulu.......
Phil: Can I get your login please.....? 
LMFAO!!!!!!!"
951,clia10892,I screamed when Manny came out 
952,californiaklassable,THE BEST THING RIGHT NOW
953,Emm J,Bart in the back LMAO 
954,Khristian Idica,JASON MENDOZA
955,itstatilol,Im glad that the correlation between worldwide compassion and unity and watching bojack horseman was recognized in this video
956,Sébastien Ruhlmann,Nat !! omg
957,sushimew,I YELLED WHEN I SAW NAT OMG
958,nanu09,Helen! Geo! Weylie!
959,Kim Huynh,"""Of course she's watching Itaewon, everyone's watching Itaewon, I'M watching Itaewon!"" This is hilarious!"
960,iiSky La,wait this made me laugh so much and the high profile australian woman.... u killed meeee
961,Shineeey,"Hey, look. It's that sofa from Animal Crossing."
962,Kay Xiong,LOLOLOL
963,Saamah Louis-Jean,"""Of course she's watching Itaewon. Who's not watching Itaewon? I'm watching Itaewon-"" 
Oh my goodness! "
964,Saudia Tate,change the password silly!  funny sketch
965,Eu A,Omggg nataliee
966,Ashley Faminial,Phil!!! This is the best Asian Cross Over EVER MADE!!!
967,Sue W.,NATALIE TRAN!!!!
968,KoraKora,"Remember people: spread Netflix accounts, not diseases."
969,Hyrrm Memories,"I squealed when I saw Manny, but I lost it when I saw Nat."
970,iiSky La,2:38 LMAO helens face
971,Nicole O,That was awesome!
972,Koala,Just change your password
973,ccgg112,BOJACK!!!
974,Geena Lopez,"OMG NAT!!! I HAVEN'T SEEN HER ON YOUTUBE IN FOREVER!!! I MISS HER AND HER BEAUTIFUL HUMOR
Awesome sketch guys! Very creative!"
975,Jenny Gao,"LMAO THE ABG INTRO MUSIC I-
I'M HELEN 
I'M JANET
AND I'M MEL!!! uwu"
976,Thien Dang,Was really hoping my man Ted Fu would make an appearance. Awesome vid nonetheless.
977,KasheMoneyRemix,Bart 
978,Nova Kaelah,I LOVE THIS
979,Janica Marie,THIS VIDEO HAS BROUGHT ME SO MUCH JOY FHDJKFHDJ
980,Angela Lee,"""He said he'd give it back"" "
981,Katie He,Please do a video with Eric Nam!!!!
982,KasheMoneyRemix,Geo!!!!
983,Arshanie Niketa,Lmao this is so funny. Why don't he just change his password instead of calling everyone but it's funny to watch.
984,sarah_says,"What does Wes say after Phil asks ""you gave my login to Jen?"""
985,xloveshelly,"Ah this was a really cute crossover, love the Justin and Jennifer bit, yes my friends made Netflix parties for Itaewon Class. And new faces for Wong Fu like Weylie and Manny! I was expecting the Zoom call from Phils Twitter. "
986,Sammy Williams,Bojack is good
987,Sammy Williams,6 degrees of separation but Netflix
988,Steven Hoang,6:25 Bart and Taika LMFAOO and the bloopers too!
989,chai_knees,Phils hair has gotten so long  also lowkey loving the facial hair
990,fadcsrk,Change password and profit
991,NerdMania,OMG BART!!!!!!! 
992,L P,I LOVE THIS!!! Did not expect Weylie and Natalie! :D
993,Harry Liu,can I have that log in
994,DreamyCassie,I already lost it with the Jen and Justin reference but Bart and Taika in the background really killed me xD
995,Kien Tran,Surprise Natalie as a villain.  Sounds about right!
996,alex bollinger,I lost it when Taylor started rhyming
997,Hoang Tuan Nguyen,Bart Kwan still funny AF!
998,Brianna Jordahl,lol now Geo's vlog from a few weeks ago makes so much sense lololol
999,Bluish Blow,I'm just freaking out with all of these appearances <3
1000,wowJhil,Wow! So long ago I saw Nat and I didn't expect to see her here! :D When this all turned into the virus metaphore it was hilarious! Super spreader! :D
1001,Emily Kim,I gasped audibly when Nat turned around.
1002,Bluish Blow,4:17 THAT WAS SO SWEET. I love that he went with it. Jen must be so embarassed 
1003,Deathisnottheendtrue,"Omg, Nat!!!"
1004,Katie He,I'm crying omg so many amazing crossovers
1005,misuumisuu,OMG NAT?! I miss her so much
1006,appleoyellow,This was absolutely amazing.
1007,siti nur Farahin,OMG NAT!!!!! 
1008,chelsea poliquet,justin and jen omg
1009,melodybycarmen,that was eeeepic
1010,Kelsey Carmel,Love Helen and Jennys ringtone  Jonas Brothers Sucker and AsianBossGirls Podcast Intro Song
1011,Judy Rocket,"IM SCREAMING my whole childhood in one video - me, a 25 year old"
1012,Katie He,BOJACK HORSEMAN omg yes
1013,Olamide Ola,Loved this!
1014,UrAvgRasian,Im changing the password
1015,April Sunid,cracking up
1016,bob bobby,You can watch Rick and Morty on Netflix if you have a VPN
1017,andrea look,CAN U IMAGINE IF KEVJUMBA WAS IN THIS?
1018,Yolk,the collab that breaks the internet
1019,Kevin Varughese,"First Natalie comes back and does a YouTube Live, and now she does a cameo here?! Literally the only amazing thing to come out of this.


Also, love the promo for Kim's Convenience new season, lol. If you've never watched the show, highly suggest you do!"
1020,Ube,NAT COME BACK
1021,awwwkitteh,100000 likes for NAT <333
1022,Quade Au,Natalie!
1023,Jennifer Huynh,LOL BART.
1024,jeanluc knowles,This is great 
1025,amyflip,Oh my gosh this was soo good!!! I love seeing all my favorite youtubers in one video during this social distancing. Love it!! Thank you for making this video!
1026,MillieLilly,YOOO but this collab ??!?! it just got better and better. I need more content like this.
1027,Melissa Hong,"COMMUNITY CHANNEL RETURNS, oml wait i'm actually dying nooooo nat come back to youtube"
1028,record2record,I love this channel so much!
1029,rtotheayray,Hahaha Bart in the diaper killed me with laughter
1030,Jeremiah Salhay,This video made me realize how I have no friends :CCCC
1031,LiiChinHo,This is awesomeeee
1032,AshisutantoDirekutaa,Did anyone else catch that Wes was watching an hourglass? 
1033,DanTownLA,that's good clickbait
1034,quana Mckinney,Would've changed it as soon as I didn't give it to someone myself 
1035,ABCDEFGHIJKLMNOP QRSTUVWXYZ,I SCREAMED WHEN MANNY CAME UP
1036,Dede,Simple fix. Change the passward
1037,Dillon Banh,Phil I have your Netflix account :))))
1038,TweakieThuy,NATALIE  I havent seen her in sooo longggggggg!!! Doesnt she owe us LAMINGTONS???
1039,jun,aiii nat tran
1040,Carter F,"Super funny skit guys. Holy crap, Bart in the diaper LOL"
1041,Samantha D," You've done it again, another great short!"
1042,Elsa Chen,Love Helens asian boss girl ringtone 
1043,Jason Wang,BART NO WAY XDDDD
1044,kristi,all my favorite people in one video??? this quarantine is awesome!
1045,Amnamnamnamna,NATTTTTTTT AHHHH
1046,Russell Gunning,Hmmm using netflex like virus...well played Wong Fu...well played.
1047,Deejay Mercado,Awwwww. Natalie! I love community channel 
1048,AsianBossGirl,This is partly the reason why Phil is now part of our Spotify Family Plan lol
1049,Lyzette Maguigad,the ultimate collab!
1050,NouXA,Rick and morty SAMEEEE
1051,andrea look,IM SCREAMMMINGGGGG
1052,Alberto Merici,Nat  it's so nice to see her again
1053,Jinzan,ALL THESE COLLAB FROM OTHER PPL IS MAKING ME WONG FU FANGIRL
1054,sooah,i hate to admit this but i am a natalie for netflix accounts...
1055,Jinzan,HAHAHAHHAA IM DYING
1056,Xinnan Du,"This is so REAL! Phil clearly needs a haircut, which is not possible right now... also part of the story!"
1057,Tina Nguyen,Omg Nattttt 
1058,AshisutantoDirekutaa,"In quarantine, Isaac Newton discovered the theory of optics. Wong Fu then gave us this! "
1059,Seth Seth,I laughed when I saw Bart in the background. The effort to bring comedy.
1060,lulxiao,just change the password 
1061,Anneliese Her,I love this omg.
1062,Gabriella Tandra,natalie!!!!!!
1063,Frank Pon,"Why not just  update password 
"
1064,Megan Liew,Natalie!!!
1065,Luis Espinoza,This was just amazing! xD
1066,skzksm 2,Jenn's Sucker ringtone 
1067,benzjamin13,This was awesome!  Loved it!
1068,iris0126,My reaction when I saw nat. I honestly thought it'd be Michelle Phan or some.
1069,mrtimothylee,MANNY!!!
1070,Strike,NAAATALIE TRANNNNNNNN!!!!!!! (It took a pandemic to pull her out of isolation!)
1071,ohsicasy,Once that happened to me and i was about to call my friend bc already check my mom and brother devices until i realized i could change my password 
1072,KOU IZZLE,"Came for Wong-fu, and I got Nat!!!!!! Straight "
1073,Donna Johnson,and would be annoying. Definitely Cancel or get new password. That sharing was serious 
1074,TheTeriyakiBeef,COMMUNITY CHANNEL !!!
1075,Dragonbliss,Simu's judgemental face lmaoooo 
1076,KOU IZZLE,"Sure have missed Nat and the Community Channel LOL. 

Also the Bart Kwan clip was awesome."
1077,Leisure Larry,Its been 3 years since Natalie Tran has been seen alive and Wong Fu Productions brought her back! We miss you Nat! Come back to YouTube!
1078,Alexis Tai,"National Treasure is on Netflix right now.  Have you got any idea how many people have not seen it?...  What were they even doing in 2004? Nat, we miss you so much <3"
1079,Zj Delmo,can we get more manny jacinto after the quarantine?
1080,bella,Amazing skit
1081,April,Haha happy to see so many faces :]
1082,STACE,Why not just log out of all accounts from your settings page  then change the password
1083,gyuutea,This is so good hahah definitely one of the best skits!
1084,gbchang,Oh dip!! Its Jason from The Good Place!!
1085,Minor-sW,"As always, wong fu never fails to put a smile on my face "
1086,WTKK VIDEOS,too funny
1087,ItsKingNando,"Such a creative video to make during these limiting times, great work!"
1088,Matt Vuong,"Wait, Taylor lives with Phil?  I thought Helen lived with Phil?"
1089,lovelight88,Lol just be a savage and log everyone off through the account and change the password 
1090,Jessica Cho,omg finally Weylie!! and omg NAT!
1091,HappyPapa1218,"""That's on hulu"""
1092,Mr. Q,LMAO Bart and Taika =)))
1093,Itz Krizp,Damn when I saw Arden it just reminded me of her and Ryan breaking up 
1094,Koyuki Nakayama,"we got Simu, Justin, Jason from the good place. Great actors. BUT WHERE THE HECK IS TED FU?"
1095,MikeBowShow,DARE WE DECIDE TO BE MORE DIVISIVE WITH OUR DEVICES?!!  OFFLINES BACK BABYYYY
1096,NFHD HB,NAT!!! 
1097,Danny Lu,GEO!!!!!
1098,mLr926,NATALIE FREAKING TRAN! I MISS COMMUNITYCHANNEL
1099,Chaya 2,I swear everybody had a switch
1100,Jerry Han,Can't tell if this is a reference to the coronavirus spreading haha
1101,twinklysoul,this is very original.. totally a Netflix original  (p/s i ship justinxjenn )
1102,Justin Lin,"Marvel: Avengers: Endgame is the most ambitious crossover event in history
Wong Fu:"
1103,gracie,BART IM DEAD
1104,Benny Lu,HEY NAT
1105,Kyle Wong,NAT!!!
1106,Valerie Pua,Ps. Helen to feature often!! 
1107,Lancy Lin,Self-isolation would not be the same without your shorts and lunch breaks to look forward to! I hope you guys continue to stay as your best classy selves!
1108,Robby Is A Human Being,"Change the password, but then everyone will just text you asking for it back..."
1109,Insta art,no TED ?
1110,Alexis Tai,"I dont know what surprises me more. That none of these people have Netflix accounts, or that Natalie is so well connected. She seems like shes doing really well!  ... what math? ... Dare we decide to be more divisive with our devices? Taylors lines are genius! "
1111,Kailee,This reminds me of Tablo's podcast and how everyone was using Tukutz account.
1112,Nancy Perez,Geo!!!
1113,Lizzy Lauj,This is genius lol I know how this feels 
1114,Shiela Mae Valerio,the cameos 
1115,y0ut00ber,Twists and turns throughout the video. Bravo
1116,YourTechGuide,*very clever and absolutely well done!*
1117,Cho Nana,Omg!! I snorted at the last part! Loved this video!
1118,Wonderland Boudoir,As soon as I saw the back of Natalie Tran's head I slowed clapped in real life!  LONG LIVE NATALIE!
1119,Valerie Pua,Wah!!! You cant feed us with Justin & Jen and not continue so I hope this continues!!! 
1120,Jasmine Namata,THE VIRTUAL COLLAB WE DIDNT KNOW WE NEEDED TIL WE SAW IT!! I LOVED THIS!! I laughed so hard each time! Thanks for the great content WongFu  So relatable even now!
1121,ANDREW ALSUM,You shouldve gotten Ryan Higa (NigaHiga) in here
1122,innertamement,"Wouldve been perfect to have Ted as the mastermind and make a cameo 

Loved the short though either way!"
1123,Elizabeth Ding,HAHAH the Jenn and Justin shenanigans continue :O
1124,Nishaarr,"Uh sorry Phil, I'm one of those 3.5 million people that have your netflix login.... But i got it from my sister, who go it from her work friend, who got it from his postman, who got it from the vet, who got it from her council member, who got it from the Prime Minister of Australia...and umm unfortunately I've also shared with my best friend in the Phillipines, it is quarantine after all "
1125,TZ Nyein,It's only 7.99 and why people are sharing?
1126,Hana Ongwongsakul," yes, Nat is very well connected. Also, National treasure is on Netflix?? I might need that new account pswd leaked, Phil..."
1127,Naomi Arato,It's my birthday today and it make me so happy I can celebrate with and awesome and hilarious wong fu video with all my favorite ppl!!
1128,Zong Muas,Just let the man watch his SHOW!! LMAO
1129,osmolympia,OMG NATALIE TRAN COMMUNITY CHANNEL <3 Missed her SO MUCH !!!!
1130,Trisha Le,Amazing on multiple levels and hilarious on multiple levels!
1131,JAKanDAX,i'm very excited to learn kim's convenience released season 4
1132,Romi Almeda,I literally laughed out loud when I saw Bart
1133,Phoebe Shen,Justin and Jen!! hehe
1134,Naomi Arato,This is GOLD!!! 
1135,Grace 🐧,Aaw I miss Nat. I hope this is her way of easing back into the youtube world
1136,auomimed,OMG NATALIE TRAN <333
1137,Christina Siew,Weylieeeeeeeeee!!!
1138,wawawho18_adventures,wait..phil and taylor live together?
1139,kaboomdynamite,"LMAOOO dat Justin and Jenn reference 
update: omg Weylie, Manny and Nat!!!"
1140,Pearl Dulay,Is this real life.... Community Channel?!?!?!
1141,jefflo77,Was it only me or was anyone else waiting for Ted to pop up?!
1142,SkyFluid,Do a scene like the one in ant man and the conga drum plz
1143,Miranda Lotto,I WANT TO SEE JEN'S REACTIIIOOONNN!!!
1144,Jasmine Sun,Freaking bart and taika in the background of geo's call 
1145,Pj Jama,This is amazing to say the least.
1146,Mars Irene,"cameos here are golden :"""
1147,Asiatique Media 阿西亞提克 媒體,You know what would've been evil? If someone changed Phil's password and everybody knew the new password except for Phil 
1148,Mildred Bailey,This was SO FUNNY! and so many canmeos. Thank you so much for working hard to put all of this together!
1149,Ruguoser Liegise,Bart WTH what are you doing! 
1150,Aliah Mehkri,I almost spit my food out when I saw Nat 
1151,rainiidays,OMG NATALIE TRAN 
1152,PixelGirl2006,I ship Jen and Justin!
1153,kawaiiafangirl,I can't believe that I've seen/ heard Nat/ Community Channel in more Wong Fu videos than in her own damn channel in the past 3 years.
1154,myuniversallove,A High Quality video during these times. Love it
1155,TheKevinTrinh,"This is amazing, I recognise all the people in the videos!! Amazing wongfu :)"
1156,SkyFluid,"I friggin love Taylor ""what? He said he'd give it back."" LOL"
1157,kaitlyn hsu !!,bojack horseman !!
1158,Yumeto,"when they said ""high profile female Australian""... i KNEW IT XD"
1159,Sir. Boaz Mutatay,This is genius  You Netflix login is spreading like Corona Virus 
1160,Peggy Nguyen,JUSTIN AND JENN?!
1161,Mila,I like ^_^
1162,rainiidays,JUSTIN MIN
1163,Luke Blough,Taipeibooty69 LOL
1164,Simone Ramkissoon,Made my day!!
1165,Falling RICE BALL,goddamn everyone is in this video!
1166,Connie C,YEEEEEEEEESSSSS all these cameos give me life
1167,Matthieu Shin,Wong Fu Endgame
1168,Lucas Wang,"Please like this comment. I need to do something with it once it gets enough likes. (Not just ""I edited this comment so the replies don't make sense haha I'm hilarious"")"
1169,J J,Nat! she's alive!
1170,kiiya walkez,I remember lending my login to a friend and they signed in on another person's laptop and then that person started using it so I just changed passwords before it got spread further. Best to end it before it starts
1171,Angelina Nguyen,omg i lost it at justin HAHHahahah
1172,h h,Better with the beard and messy hair.  More mature.  Try to go for short skits.  11mins just feels long for youtube.  Good luck.
1173,youjinny,"""divisive with our devices"""
1174,Wrenchguy,NATALIE TRAN! <3  good short haha
1175,Justin Quan,TAYLOR LIVES WITH PHIL ? ? ?
1176,akvang2,"Hilarious! When my dad changes his Netflix PW, all my siblings and I scramble to find out what it is to get back on the account."
1177,MJTXOMEGA X10,To be honest man I didnt know you can share your Netflix
1178,Onno Eberhard,NAT!
1179,Gizmeow The Cat,lol Bart & Taika
1180,kt032,omg natalie tran!
1181,OLIVER CHADLEY!,So relatable lol
1182,EsquilaxM,"Hahahahahahaha, this was brilliant! Each new reveal was just another smile or laugh until NAT and then I lost it xD"
1183,itsgiahanle,Ahhh 
1184,Shiela R,I love how I got to see all of my favorites in one video And omg Justin asking Phil if Jenn likes him
1185,yueᅵmoon,this is the earliest i've been
1186,Esther,JASON FROM THE GOOD PLACE OMG
1187,Crisalis Mendoza,Just change the password 
1188,TheBrownBoyWonder,just change the password. ;)
1189,Trevor Knotts,the pressures of society
1190,Megan Luo,"""wait jen?"" OH MY! that's a good call back to lunch break"
1191,Bookish Kitten,This. is awesome.
1192,S P,Wong fu.....WHY U MAKE ME WAIT SO LONG
1193,Etphan,We need more of the live streams
1194,Joel,I like the movie posters on the wall but what was the third one?
1195,Chelsey Thai,Dam I feel attacked LOL
1196,Sachi N,"even in quarantine, the videos are still on point <3 EDIT: OMG THAT IS JASON FROM THE GOOD PLACE!"
1197,Michael Ferrari Le,I didnt know I needed this until now. Need more Wong Fu during quarantine.
1198,kt032,Lol i love this because its the wong fu team in real life!
1199,Pesi Belau,it's been a while.....
1200,TheNipple,"Dang, I totally forgot I subscribed to you guys a long time ago. Probably was meant to be to watch your vids again."
1201,Iva Le,Jenn and Justin  OTP!
1202,kawaiiafangirl,"Random question (which has absolutely nothing to do with this video), but what if I share a Gold Membership Patreon account for Wong Fu's page?"
1203,Mo Chubby's Music,I'll trade my hair clippers for a Netflix login.  Temporary basis only.  
1204,Mr. Boring,391st
1205,Purple Unicorn,Love you guys! And especially your videos!
1206,hоlа сомо ęşţąş,Heeyyy I'm early for once
1207,Michael Lam,definitely miss me some Wong Fu during this stay-at-home time period
1208,Stephen Wu,first
1209,alexmacomposer,You can't have two firsts
1210,Monica Tran,First
